project,approach,iter,dep_num,history_num,input_file,train_size,test_size,epoch_num,loss,tp,fp,tn,fn,random_precision,precision,recall,f1,auc,accuracy
accumulo,my,5,0,3,Dataset/accumulo_500_concatenated.csv,4222,1081,400,0.5120071768760681,71,15,701,294,0.33765032377428306,0.8255813953488372,0.19452054794520549,0.31485587583148555,0.5867854136374072,0.7141535615171137
accumulo,my,5,0,4,Dataset/accumulo_500_concatenated.csv,5026,1081,400,0.6556831002235413,379,225,313,164,0.5023126734505088,0.6274834437086093,0.6979742173112339,0.6608544027898866,0.6398793019641671,0.6401480111008325
accumulo,my,5,0,5,Dataset/accumulo_500_concatenated.csv,7368,1081,400,0.5784225463867188,543,497,41,0,0.5023126734505088,0.5221153846153846,1.0,0.6860391661402401,0.5381040892193308,0.5402405180388529
accumulo,my,5,0,6,Dataset/accumulo_500_concatenated.csv,8114,1081,400,0.6931470036506653,543,538,0,0,0.5023126734505088,0.5023126734505088,1.0,0.6687192118226601,0.5,0.5023126734505088
accumulo,my,5,0,7,Dataset/accumulo_500_concatenated.csv,10088,1081,400,0.6416062712669373,541,487,51,2,0.5023126734505088,0.5262645914396887,0.996316758747698,0.6887332908975174,0.5455561488905777,0.547641073080481
accumulo,my,5,0,8,Dataset/accumulo_500_concatenated.csv,12258,1081,400,0.6043540239334106,543,531,7,0,0.5023126734505088,0.505586592178771,1.0,0.6716141001855288,0.5065055762081785,0.5087881591119334
accumulo,my,5,0,9,Dataset/accumulo_500_concatenated.csv,11070,1081,400,0.6140141785144806,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,5,0,10,Dataset/accumulo_500_concatenated.csv,12504,1081,400,0.5996610522270203,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,5,0,11,Dataset/accumulo_500_concatenated.csv,13824,1081,400,0.6004302799701691,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,5,0,12,Dataset/accumulo_500_concatenated.csv,13968,1081,400,0.6258024573326111,755,322,3,1,0.6993524514338575,0.7010213556174559,0.9986772486772487,0.8237861429350791,0.503954008954009,0.7012025901942646
accumulo,my,5,0,13,Dataset/accumulo_500_concatenated.csv,14358,1081,400,0.6428608596324921,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,6,0,1,Dataset/accumulo_500_concatenated.csv,1328,1081,400,0.5448547005653381,548,159,166,208,0.6993524514338575,0.7751060820367751,0.7248677248677249,0.7491455912508546,0.6178184778184779,0.6604995374653099
accumulo,my,6,0,2,Dataset/accumulo_500_concatenated.csv,2422,1081,400,0.62781822681427,442,236,302,101,0.5023126734505088,0.6519174041297935,0.8139963167587477,0.723996723996724,0.6876673033607864,0.6882516188714154
accumulo,my,6,0,3,Dataset/accumulo_500_concatenated.csv,4222,1081,400,0.6503098011016846,243,210,506,122,0.33765032377428306,0.5364238410596026,0.6657534246575343,0.5941320293398532,0.6862286676360299,0.692876965772433
accumulo,my,6,0,4,Dataset/accumulo_500_concatenated.csv,5026,1081,400,0.6924196481704712,42,2,536,501,0.5023126734505088,0.9545454545454546,0.07734806629834254,0.14310051107325383,0.5368152970896918,0.5346901017576319
accumulo,my,6,0,5,Dataset/accumulo_500_concatenated.csv,7368,1081,400,0.6013431549072266,510,415,123,33,0.5023126734505088,0.5513513513513514,0.9392265193370166,0.6948228882833788,0.5839255273265008,0.5855689176688251
accumulo,my,6,0,6,Dataset/accumulo_500_concatenated.csv,8114,1081,400,0.6892021894454956,410,312,226,133,0.5023126734505088,0.5678670360110804,0.7550644567219152,0.6482213438735178,0.5875694030821472,0.5883441258094357
accumulo,my,6,0,7,Dataset/accumulo_500_concatenated.csv,10088,1081,400,0.6930600106716156,543,538,0,0,0.5023126734505088,0.5023126734505088,1.0,0.6687192118226601,0.5,0.5023126734505088
accumulo,my,6,0,8,Dataset/accumulo_500_concatenated.csv,12258,1081,400,0.6079824566841125,520,429,109,23,0.5023126734505088,0.547945205479452,0.9576427255985267,0.6970509383378015,0.5801224780408991,0.5818686401480111
accumulo,my,6,0,9,Dataset/accumulo_500_concatenated.csv,11070,1081,400,0.609394371509552,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,6,0,10,Dataset/accumulo_500_concatenated.csv,12504,1081,400,0.6049796938896179,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,6,0,11,Dataset/accumulo_500_concatenated.csv,13824,1081,400,0.6931477785110474,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,6,0,12,Dataset/accumulo_500_concatenated.csv,13968,1081,400,0.6080636382102966,755,321,4,1,0.6993524514338575,0.7016728624535316,0.9986772486772487,0.824235807860262,0.5054924704924706,0.7021276595744681
accumulo,my,6,0,13,Dataset/accumulo_500_concatenated.csv,14358,1081,400,0.6092534959316254,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,7,0,1,Dataset/accumulo_500_concatenated.csv,1328,1081,400,0.5868957042694092,701,247,78,55,0.6993524514338575,0.739451476793249,0.9272486772486772,0.8227699530516431,0.5836243386243386,0.7206290471785384
accumulo,my,7,0,2,Dataset/accumulo_500_concatenated.csv,2422,1081,400,0.47451186180114746,79,9,529,464,0.5023126734505088,0.8977272727272727,0.14548802946593,0.25039619651347067,0.564379702465307,0.5624421831637373
accumulo,my,7,0,3,Dataset/accumulo_500_concatenated.csv,4222,1081,400,0.4887661337852478,58,14,702,307,0.33765032377428306,0.8055555555555556,0.1589041095890411,0.26544622425629294,0.5696755184816714,0.7030527289546716
accumulo,my,7,0,4,Dataset/accumulo_500_concatenated.csv,5026,1081,400,0.620681881904602,371,157,381,172,0.5023126734505088,0.7026515151515151,0.6832412523020258,0.69281045751634,0.6957098454818679,0.6956521739130435
accumulo,my,7,0,5,Dataset/accumulo_500_concatenated.csv,7368,1081,400,0.5912706851959229,543,532,6,0,0.5023126734505088,0.5051162790697674,1.0,0.6711990111248455,0.5055762081784387,0.5078630897317299
accumulo,my,7,0,6,Dataset/accumulo_500_concatenated.csv,8114,1081,400,0.6931471228599548,543,538,0,0,0.5023126734505088,0.5023126734505088,1.0,0.6687192118226601,0.5,0.5023126734505088
accumulo,my,7,0,7,Dataset/accumulo_500_concatenated.csv,10088,1081,400,0.6928567290306091,0,0,538,543,0.5023126734505088,0.0,0.0,0.0,0.5,0.4976873265494912
accumulo,my,7,0,8,Dataset/accumulo_500_concatenated.csv,12258,1081,400,0.6170937716960907,542,504,34,1,0.5023126734505088,0.5181644359464627,0.998158379373849,0.6821900566393958,0.5306777026980769,0.5328399629972248
accumulo,my,7,0,9,Dataset/accumulo_500_concatenated.csv,11070,1081,400,0.6087348759174347,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,7,0,10,Dataset/accumulo_500_concatenated.csv,12504,1081,400,0.5972101092338562,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,7,0,11,Dataset/accumulo_500_concatenated.csv,13824,1081,400,0.5828602313995361,756,322,3,0,0.6993524514338575,0.7012987012987013,1.0,0.8244274809160306,0.5046153846153847,0.7021276595744681
accumulo,my,7,0,12,Dataset/accumulo_500_concatenated.csv,13968,1081,400,0.5991322100162506,753,319,6,3,0.6993524514338575,0.7024253731343284,0.996031746031746,0.8238512035010941,0.5072466422466422,0.7021276595744681
accumulo,my,7,0,13,Dataset/accumulo_500_concatenated.csv,14358,1081,400,0.6011044681072235,753,318,7,3,0.6993524514338575,0.7030812324929971,0.996031746031746,0.8243021346469621,0.5087851037851038,0.7030527289546716
accumulo,my,8,0,1,Dataset/accumulo_500_concatenated.csv,1328,1081,400,0.619583785533905,725,261,64,31,0.6993524514338575,0.7352941176470589,0.958994708994709,0.8323765786452354,0.577958892958893,0.7298797409805735
accumulo,my,8,0,2,Dataset/accumulo_500_concatenated.csv,2422,1081,400,0.6590545177459717,321,184,354,222,0.5023126734505088,0.6356435643564357,0.5911602209944752,0.6125954198473283,0.6245763930251186,0.6244218316373727
accumulo,my,8,0,3,Dataset/accumulo_500_concatenated.csv,4222,1081,400,0.5904802680015564,125,43,673,240,0.33765032377428306,0.7440476190476191,0.3424657534246575,0.4690431519699812,0.6412049437514349,0.7382053654024052
accumulo,my,8,0,4,Dataset/accumulo_500_concatenated.csv,5026,1081,400,0.651453971862793,390,242,296,153,0.5023126734505088,0.6170886075949367,0.7182320441988951,0.6638297872340426,0.6342089589024216,0.6345975948196114
accumulo,my,8,0,5,Dataset/accumulo_500_concatenated.csv,7368,1081,400,0.6925840973854065,543,538,0,0,0.5023126734505088,0.5023126734505088,1.0,0.6687192118226601,0.5,0.5023126734505088
accumulo,my,8,0,6,Dataset/accumulo_500_concatenated.csv,8114,1081,400,0.6931302547454834,543,538,0,0,0.5023126734505088,0.5023126734505088,1.0,0.6687192118226601,0.5,0.5023126734505088
accumulo,my,8,0,7,Dataset/accumulo_500_concatenated.csv,10088,1081,400,0.6720502972602844,501,379,159,42,0.5023126734505088,0.5693181818181818,0.9226519337016574,0.7041461700632466,0.6090954835794533,0.61054579093432
accumulo,my,8,0,8,Dataset/accumulo_500_concatenated.csv,12258,1081,400,0.6006169319152832,537,449,89,6,0.5023126734505088,0.5446247464503042,0.988950276243094,0.7024198822759974,0.5771888927683871,0.5790934320074006
accumulo,my,8,0,9,Dataset/accumulo_500_concatenated.csv,11070,1081,400,0.6073654592037201,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
